do you have any preference in terms of roast level,are you lactose intolerant,do you prefer sugar or stevia in your coffee,how many percentages of milk do you like in your coffee,which one do you prefer more,what do you prefer most in your coffee,do you like your coffee to be made by stepping coffee grounds in water over a certain period of time,which of the following coffee do you like most
dark,yes,sugar,0%,short and strong,none of the above,no,cold espresso
dark,no,stevia,below 20%,short and strong,none of the above,no,cortado
dark,yes,i do not use sugar in my coffee,0%,short and strong,none of the above,no,cold espresso
medium,no,stevia,70% or above,long and mild coffee,none of the above,no,latte machiatto
light,no,i do not use sugar in my coffee,50%,long and mild,none of the above,no,cappuccino
light,yes,i do not use sugar in my coffee,0%,long and mild,none of the above,no,americano
medium,no,i do not use sugar in my coffee,20%,short and strong,none of the above,no,flat white
medium,no,stevia,below 30%,short and strong,none of the above,no,flat white
medium,no,sugar,50%,long and mild,none of the above,no,cappuccino
medium,yes,sugar,0%,short and strong,whiskey,no,irish coffee
medium,no,sugar,below 30%,short and strong,none of the above,no,flat white
light,yes,i do not use sugar in my coffee,0%,long and mild,none of the above,no,americano
medium,yes,stevia,0%,long and mild,none of the above,no,americano
dark,yes,i do not use sugar in my coffee,0%,short and strong,none of the above,no,cold espresso
light,yes,i do not use sugar in my coffee,0%,long and mild coffee,none of the above,no,americano
light,no,sugar,50%,short and strong,none of the above,no,mocha
medium,no,sugar,below 20%,short and strong,none of the above,no,cortado
medium,no,sugar,50%,long and mild,none of the above,no,cappuccino
dark,yes,i do not use sugar in my coffee,0%,short and strong,none of the above,yes,cold brew
dark,yes,i do not use sugar in my coffee,0%,short and strong,none of the above,no,cold espresso
dark,yes,i do not use sugar in my coffee,0%,short and strong,none of the above,yes,cold espresso
medium,yes,stevia,0%,short and strong,none of the above,no,cold espresso
medium,no,i do not use sugar in my coffee,70% or above,short and strong,none of the above,no,mocha
medium,no,sugar,below 30%,short and strong,none of the above,no,flat white
light,yes,sugar,below 20%,long and mild,none of the above,no,cappuccino
dark,no,sugar,50%,short and strong,none of the above,yes,mocha
medium,yes,sugar,0%,short and strong,none of the above,yes,cold brew
medium,yes,i do not use sugar in my coffee,0%,short and strong,sambuka,no,coretto
light,yes,stevia,0%,long and mild,none of the above,no,americano
medium,yes,stevia,0%,short and strong,none of the above,yes,cold brew
medium,no,i do not use sugar in my coffee,50%,long and mild,none of the above,no,cappuccino
light,no,sugar,50%,long and mild,none of the above,no,americano
light,no,i do not use sugar in my coffee,50%,long and mild,none of the above,yes,cold brew
medium,no,i do not use sugar in my coffee,50%,short and strong,none of the above,no,mocha
light,no,i do not use sugar in my coffee,70% or above,long and mild,none of the above,no,latte machiatto
dark,yes,i do not use sugar in my coffee,0%,short and strong,none of the above,no,cold espresso
medium,no,sugar,50%,long and mild,none of the above,no,cappuccino
dark,no,i do not use sugar in my coffee,0%,short and strong,whiskey,no,irish coffee
dark,yes,i do not use sugar in my coffee,0%,short and strong,whiskey,no,irish coffee
medium,yes,sugar,0%,short and strong,none of the above,no,cold espresso
medium,yes,stevia,below 20%,short and strong,sambuka,no,corretto
medium,yes,i do not use sugar in my coffee,0%,short and strong,none of the above,no,cold espresso
dark,yes,sugar,0%,short and strong,none of the above,no,irish coffee
dark,yes,i do not use sugar in my coffee,0%,short and strong,none of the above,yes,cold brew
medium,yes,i do not use sugar in my coffee,50%,long and mild,none of the above,no,cappuccino
medium,no,sugar,below 30%,short and strong,none of the above,no,flat white
light,no,stevia,20%,short and strong,none of the above,no,flat white
light,yes,stevia,0%,long and mild,none of the above,no,americano
medium,no,sugar,20%,short and strong,none of the above,no,americano
dark,yes,i do not use sugar in my coffee,0%,short and strong,none of the above,no,cold espresso
light,no,i do not use sugar in my coffee,50%,short and strong,none of the above,no,mocha
dark,no,i do not use sugar in my coffee,20%,short and strong,none of the above,no,cortado
medium,no,sugar,50%,long and mild,none of the above,no,cappuccino
dark,no,stevia,50%,short and strong,none of the above,yes,cold brew
medium,yes,stevia,0%,short and strong,none of the above,no,cold espresso
medium,no,sugar,below 30%,long and mild,none of the above,no,cappuccino
dark,yes,i do not use sugar in my coffee,0%,short and strong,none of the above,yes,cold brew
dark,no,stevia,below 30%,short and strong,none of the above,no,flat white
light,no,i do not use sugar in my coffee,50%,long and mild coffee,none of the above,no,cappuccino
dark,yes,sugar,0%,short and strong,none of the above,no,irish coffee
light,yes,i do not use sugar in my coffee,0%,long and mild,none of the above,no,americano
medium,no,sugar,20%,short and strong,none of the above,no,cortado
light,yes,stevia,0%,long and mild,none of the above,no,americano
medium,no,i do not use sugar in my coffee,70% or above,short and strong,none of the above,no,mocha
medium,no,i do not use sugar in my coffee,70% or above,short and strong,none of the above,no,mocha
light,yes,sugar,20%,long and mild,none of the above,no,cappuccino
medium,no,stevia,below 30%,short and strong,none of the above,no,flat white
light,no,sugar,70% or above,short and strong,none of the above,no,mocha
dark,yes,sugar,0%,short and strong,none of the above,yes,cold brew
medium,no,sugar,70% or above,long and mild,none of the above,no,latte machiatto
dark,yes,sugar,0%,short and strong,whiskey,no,irish coffee
dark,yes,sugar,0%,short and strong,whiskey,no,irish coffee
medium,no,i do not use sugar in my coffee,20%,short and strong,none of the above,no,cortado
medium,yes,sugar,0%,short and strong,none of the above,yes,cold brew
dark,yes,sugar,0%,short and strong,whiskey,no,irish coffee
light,no,i do not use sugar in my coffee,50%,long and mild coffee,none of the above,no,cappuccino
dark,yes,stevia,0%,short and strong,sambuka,no,coretto
light,no,sugar,20%,short and strong,none of the above,no,flat white
dark,yes,i do not use sugar in my coffee,0%,short and strong,none of the above,no,cold espresso
medium,no,i do not use sugar in my coffee,50%,long and mild,none of the above,no,cappuccino
medium,no,stevia,0%,short and strong,sambuka,no,coretto
medium,yes,i do not use sugar in my coffee,0%,short and strong,sambuka,no,coretto
medium,no,stevia,below 30%,short and strong,none of the above,no,flat white
light,yes,i do not use sugar in my coffee,0%,long and mild,none of the above,no,americano
medium,no,stevia,50%,long and mild,none of the above,no,cappuccino
medium,no,stevia,below 30%,short and strong,none of the above,no,flat white
medium,no,sugar,70% or above,short and strong,none of the above,no,mocha
light,yes,stevia,0%,long and mild,none of the above,no,americano
dark,no,sugar,50%,short and strong,none of the above,no,cortado
medium,yes,i do not use sugar in my coffee,0%,short and strong,sambuka,no,coretto
medium,yes,i do not use sugar in my coffee,0%,short and strong,sambuka,no,coretto
dark,yes,i do not use sugar in my coffee,0%,short and strong,none of the above,no,cold espresso
dark,no,sugar,70% or above,short and strong,none of the above,no,mocha
medium,no,sugar,50%,long and mild,none of the above,no,cappuccino
dark,no,stevia,0%,short and strong,none of the above,yes,cold brew
medium,no,sugar,70% or above,short and strong,none of the above,no,mocha
light,yes,i do not use sugar in my coffee,0%,long and mild,none of the above,no,americano
medium,yes,i do not use sugar in my coffee,0%,short and strong,whiskey,no,irish coffee
medium,no,stevia,below 30%,short and strong,none of the above,no,cold espresso
dark,no,i do not use sugar in my coffee,70% or above,long and mild,none of the above,no,latte machiatto
medium,no,stevia,70% or above,short and strong,none of the above,no,mocha
light,yes,sugar,0%,long and mild coffee,none of the above,yes,cold brew
medium,no,sugar,70% or above,long and mild,none of the above,no,latte machiatto
medium,no,stevia,70% or above,short and strong,none of the above,no,mocha
medium,no,sugar,20%,short and strong,none of the above,no,cortado
medium,yes,stevia,0%,short and strong,none of the above,no,cold espresso
medium,no,sugar,70% or above,long and mild,none of the above,no,latte machiatto
medium,no,i do not use sugar in my coffee,20%,short and strong,none of the above,no,cortado
dark,yes,sugar,0%,short and strong,none of the above,no,irish coffee
dark,no,i do not use sugar in my coffee,70% or above,long and mild,none of the above,no,latte machiatto
medium,no,sugar,50%,long and mild coffee,none of the above,yes,cold brew
dark,yes,sugar,0%,short and strong,whiskey,no,irish coffee
medium,yes,sugar,0%,long and mild,none of the above,no,cappuccino
medium,yes,stevia,0%,short and strong,none of the above,yes,cold brew
light,no,i do not use sugar in my coffee,below 20%,short and strong,none of the above,no,flat white
dark,yes,stevia,0%,short and strong,none of the above,no,cold espresso
light,no,sugar,70% or above,short and strong,none of the above,no,mocha
dark,yes,sugar,0%,short and strong,none of the above,no,irish coffee
dark,no,sugar,50%,short and strong,none of the above,no,mocha
light,no,i do not use sugar in my coffee,50%,long and mild coffee,none of the above,no,cappuccino
medium,no,stevia,50%,long and mild,none of the above,no,cappuccino
medium,yes,i do not use sugar in my coffee,0%,short and strong,sambuka,no,coretto
medium,no,sugar,50%,long and mild,none of the above,no,cappuccino
light,no,sugar,0%,long and mild,none of the above,no,americano
medium,yes,sugar,0%,short and strong,whiskey,no,irish coffee
medium,no,i do not use sugar in my coffee,below 20%,short and strong,none of the above,no,cortado
medium,yes,i do not use sugar in my coffee,0%,long and mild,none of the above,no,americano
dark,yes,i do not use sugar in my coffee,0%,short and strong,sambuka,no,coretto
medium,no,stevia,below 30%,long and mild,none of the above,no,cappuccino
dark,no,sugar,20%,short and strong,none of the above,no,cortado
dark,no,stevia,0%,short and strong,whiskey,no,irish coffee
dark,yes,i do not use sugar in my coffee,0%,short and strong,none of the above,no,cold espresso
dark,yes,i do not use sugar in my coffee,0%,short and strong,none of the above,no,cold espresso
dark,no,stevia,50%,short and strong,none of the above,no,mocha
dark,no,stevia,70% or above,long and mild,none of the above,no,latte machiatto
light,yes,stevia,0%,long and mild,none of the above,no,americano
medium,no,sugar,20%,short and strong,none of the above,no,cortado
medium,no,stevia,below 30%,short and strong,none of the above,no,flat white
medium,yes,stevia,0%,long and mild coffee,none of the above,no,americano
medium,no,sugar,50%,long and mild coffee,none of the above,no,latte machiatto
medium,no,stevia,20%,short and strong,none of the above,no,cortado
medium,no,stevia,50%,short and strong,none of the above,no,cortado
light,no,stevia,50%,long and mild,none of the above,no,cappuccino
dark,no,stevia,70% or above,long and mild,none of the above,no,latte machiatto
light,no,i do not use sugar in my coffee,70% or above,long and mild coffee,none of the above,no,latte machiatto
medium,no,i do not use sugar in my coffee,0%,long and mild,none of the above,no,americano
medium,yes,i do not use sugar in my coffee,0%,short and strong,sambuka,no,coretto
dark,yes,sugar,0%,short and strong,none of the above,no,cold espresso
dark,yes,i do not use sugar in my coffee,0%,short and strong,sambuka,no,coretto
medium,no,sugar,50%,long and mild coffee,none of the above,no,cappuccino
medium,no,stevia,70% or above,long and mild coffee,none of the above,no,latte machiatto
dark,no,i do not use sugar in my coffee,below 30%,short and strong,none of the above,no,flat white
medium,no,sugar,50%,long and mild coffee,none of the above,no,cappuccino
dark,no,stevia,0%,short and strong,none of the above,yes,cold brew
medium,yes,i do not use sugar in my coffee,0%,short and strong,none of the above,no,cold espresso
light,no,i do not use sugar in my coffee,50%,long and mild coffee,none of the above,no,cappuccino
dark,no,stevia,below 30%,short and strong,none of the above,no,flat white
medium,yes,stevia,0%,short and strong,none of the above,yes,cold brew
dark,yes,sugar,0%,short and strong,whiskey,no,irish coffee
